,curb-weight,engine-size,length,width,horsepower,city-mpg,highway-mpg,wheel-base,bore,drive-wheels,price
0,2548,130,0.8111484863046613,0.8902777777777777,111.0,21,27,88.6,3.47,rwd,13495.0
1,2548,130,0.8111484863046613,0.8902777777777777,111.0,21,27,88.6,3.47,rwd,16500.0
2,2823,152,0.8226814031715521,0.9097222222222222,154.0,19,26,94.5,2.68,rwd,16500.0
3,2337,109,0.8486304661220567,0.9194444444444444,102.0,24,30,99.8,3.19,fwd,13950.0
4,2824,136,0.8486304661220567,0.9222222222222224,115.0,18,22,99.4,3.19,4wd,17450.0
5,2507,136,0.8519942335415667,0.9208333333333332,110.0,19,25,99.8,3.19,fwd,15250.0
6,2844,136,0.9259971167707832,0.9916666666666668,110.0,19,25,105.8,3.19,fwd,17710.0
7,2954,136,0.9259971167707832,0.9916666666666668,110.0,19,25,105.8,3.19,fwd,18920.0
8,3086,131,0.9259971167707832,0.9916666666666668,140.0,17,20,105.8,3.13,fwd,23875.0
9,2395,108,0.8495915425276309,0.8999999999999999,101.0,23,29,101.2,3.5,rwd,16430.0
10,2395,108,0.8495915425276309,0.8999999999999999,101.0,23,29,101.2,3.5,rwd,16925.0
11,2710,164,0.8495915425276309,0.8999999999999999,121.0,21,28,101.2,3.31,rwd,20970.0
12,2765,164,0.8495915425276309,0.8999999999999999,121.0,21,28,101.2,3.31,rwd,21105.0
13,3055,164,0.9082172032676598,0.9291666666666668,121.0,20,25,103.5,3.31,rwd,24565.0
14,3230,209,0.9082172032676598,0.9291666666666668,182.0,16,22,103.5,3.62,rwd,30760.0
15,3380,209,0.9312830370014415,0.9430555555555556,182.0,16,22,103.5,3.62,rwd,41315.0
16,3505,209,0.9466602594906296,0.9847222222222224,182.0,15,20,110.0,3.62,rwd,36880.0
17,1488,61,0.6780394041326285,0.8374999999999999,48.0,47,53,88.4,2.91,fwd,5151.0
18,1874,90,0.7491590581451226,0.8833333333333333,70.0,38,43,94.5,3.03,fwd,6295.0
19,1909,90,0.7630946660259491,0.8833333333333333,70.0,38,43,94.5,3.03,fwd,6575.0
20,1876,90,0.7558865929841423,0.8861111111111111,68.0,37,41,93.7,2.97,fwd,5572.0
21,1876,90,0.7558865929841423,0.8861111111111111,68.0,31,38,93.7,2.97,fwd,6377.0
22,2128,98,0.7558865929841423,0.8861111111111111,102.0,24,30,93.7,3.03,fwd,7957.0
23,1967,90,0.7558865929841423,0.8861111111111111,68.0,31,38,93.7,2.97,fwd,6229.0
24,1989,90,0.7558865929841423,0.8861111111111111,68.0,31,38,93.7,2.97,fwd,6692.0
25,1989,90,0.7558865929841423,0.8861111111111111,68.0,31,38,93.7,2.97,fwd,7609.0
26,2191,98,0.7558865929841423,0.8861111111111111,102.0,24,30,93.7,3.03,fwd,8558.0
27,2535,122,0.8390197020663143,0.8972222222222221,88.0,24,30,103.3,3.34,fwd,8921.0
28,2811,156,0.8322921672272945,0.9208333333333332,145.0,19,24,95.9,3.6,fwd,12964.0
29,1713,92,0.6948582412301778,0.8875,58.0,49,54,86.6,2.91,fwd,6479.0
30,1819,92,0.6948582412301778,0.8875,76.0,31,38,86.6,2.91,fwd,6855.0
31,1837,79,0.7208073041806824,0.8888888888888888,60.0,38,42,93.7,2.91,fwd,5399.0
32,1940,92,0.7208073041806824,0.8888888888888888,76.0,30,34,93.7,2.91,fwd,6529.0
33,1956,92,0.7208073041806824,0.8888888888888888,76.0,30,34,93.7,2.91,fwd,7129.0
34,2010,92,0.7851994233541567,0.8888888888888888,76.0,30,34,96.5,2.91,fwd,7295.0
35,2024,92,0.7549255165785679,0.8875,76.0,30,34,96.5,2.92,fwd,7295.0
36,2236,110,0.8049014896684287,0.9055555555555556,86.0,27,33,96.5,3.15,fwd,7895.0
37,2289,110,0.8049014896684287,0.9055555555555556,86.0,27,33,96.5,3.15,fwd,9095.0
38,2304,110,0.8428640076886112,0.9055555555555556,86.0,27,33,96.5,3.15,fwd,8845.0
39,2372,110,0.8428640076886112,0.8680555555555556,86.0,27,33,96.5,3.15,fwd,10295.0
40,2465,110,0.8428640076886112,0.9055555555555556,101.0,24,28,96.5,3.15,fwd,12945.0
41,2293,110,0.8125901009130225,0.9166666666666666,100.0,25,31,96.5,3.15,fwd,10345.0
42,2337,111,0.8202787121576165,0.8583333333333333,78.0,24,29,94.3,3.31,rwd,6785.0
43,2734,119,0.8294089380105718,0.9055555555555556,90.0,24,29,96.0,3.43,rwd,11048.0
44,4066,258,0.9591542527630946,0.9666666666666666,176.0,15,19,113.0,3.63,rwd,32250.0
45,4066,258,0.9591542527630946,0.9666666666666666,176.0,15,19,113.0,3.63,rwd,35550.0
46,3950,326,0.921191734742912,0.9805555555555556,262.0,13,17,102.0,3.54,rwd,36000.0
47,1890,91,0.7645362806343105,0.8916666666666667,68.0,30,31,93.1,3.03,fwd,5195.0
48,1900,91,0.7645362806343105,0.8916666666666667,68.0,31,38,93.1,3.03,fwd,6095.0
49,1905,91,0.7645362806343105,0.8916666666666667,68.0,31,38,93.1,3.03,fwd,6795.0
50,1945,91,0.8015377222489188,0.8916666666666667,68.0,31,38,93.1,3.03,fwd,6695.0
51,1950,91,0.8015377222489188,0.8916666666666667,68.0,31,38,93.1,3.08,fwd,7395.0
52,2380,70,0.8121095627102355,0.9125,101.0,17,23,95.3,3.3297512437810965,rwd,10945.0
53,2380,70,0.8121095627102355,0.9125,101.0,17,23,95.3,3.3297512437810965,rwd,11845.0
54,2385,70,0.8121095627102355,0.9125,101.0,17,23,95.3,3.3297512437810965,rwd,13645.0
55,2500,80,0.8121095627102355,0.9125,135.0,16,23,95.3,3.3297512437810965,rwd,15645.0
56,2385,122,0.8543969245555022,0.9236111111111112,84.0,26,32,98.8,3.39,fwd,8845.0
57,2410,122,0.8543969245555022,0.9236111111111112,84.0,26,32,98.8,3.39,fwd,8495.0
58,2385,122,0.8543969245555022,0.9236111111111112,84.0,26,32,98.8,3.39,fwd,10595.0
59,2410,122,0.8543969245555022,0.9236111111111112,84.0,26,32,98.8,3.39,fwd,10245.0
60,2443,122,0.8543969245555022,0.9236111111111112,64.0,36,42,98.8,3.39,fwd,10795.0
61,2425,122,0.8543969245555022,0.9236111111111112,84.0,26,32,98.8,3.39,fwd,11245.0
62,2670,140,0.8409418548774628,0.9180555555555556,120.0,19,27,104.9,3.76,rwd,18280.0
63,2700,134,0.8409418548774628,0.9180555555555556,72.0,31,39,104.9,3.43,rwd,18344.0
64,3515,183,0.9173474291206152,0.9763888888888888,123.0,22,25,110.0,3.58,rwd,25552.0
65,3750,183,0.9173474291206152,0.9763888888888888,123.0,22,25,110.0,3.58,rwd,28248.0
66,3495,183,0.9010091302258528,0.9763888888888888,123.0,22,25,106.7,3.58,rwd,28176.0
67,3770,183,0.9735703988467084,0.9958333333333332,123.0,22,25,115.6,3.58,rwd,31600.0
68,3740,234,0.9735703988467084,0.9958333333333332,155.0,16,18,115.6,3.46,rwd,34184.0
69,3685,234,0.8664103796251803,0.9791666666666666,155.0,16,18,96.6,3.46,rwd,35056.0
70,3900,308,1.0,0.9958333333333332,184.0,14,16,120.9,3.8,rwd,40960.0
71,3715,304,0.957232099951946,1.0,184.0,14,16,112.0,3.8,rwd,45400.0
72,2910,140,0.8572801537722249,0.9444444444444444,175.0,19,24,102.7,3.78,rwd,16503.0
73,1918,92,0.7558865929841423,0.8944444444444445,68.0,37,41,93.7,2.97,fwd,5389.0
74,1944,92,0.7558865929841423,0.8944444444444445,68.0,31,38,93.7,2.97,fwd,6189.0
75,2004,92,0.7558865929841423,0.8944444444444445,68.0,31,38,93.7,2.97,fwd,6669.0
76,2145,98,0.7558865929841423,0.8861111111111111,102.0,24,30,93.0,3.03,fwd,7689.0
77,2370,110,0.8313310908217203,0.9083333333333334,116.0,23,30,96.3,3.17,fwd,9959.0
78,2328,122,0.8313310908217203,0.9083333333333334,88.0,25,32,96.3,3.35,fwd,8499.0
79,2833,156,0.8322921672272945,0.9208333333333332,145.0,19,24,95.9,3.58,fwd,12629.0
80,2921,156,0.8322921672272945,0.9208333333333332,145.0,19,24,95.9,3.59,fwd,14869.0
81,2926,156,0.8322921672272945,0.9208333333333332,145.0,19,24,95.9,3.59,fwd,14489.0
82,2365,122,0.8284478616049976,0.9083333333333334,88.0,25,32,96.3,3.35,fwd,6989.0
83,2405,122,0.8284478616049976,0.9083333333333334,88.0,25,32,96.3,3.35,fwd,8189.0
84,2403,110,0.8284478616049976,0.9083333333333334,116.0,23,30,96.3,3.17,fwd,9279.0
85,2403,110,0.8284478616049976,0.9083333333333334,116.0,23,30,96.3,3.17,fwd,9279.0
86,1889,97,0.794329649207112,0.8861111111111111,69.0,31,37,94.5,3.15,fwd,5499.0
87,2017,103,0.794329649207112,0.8861111111111111,55.0,45,50,94.5,2.99,fwd,7099.0
88,1918,97,0.794329649207112,0.8861111111111111,69.0,31,37,94.5,3.15,fwd,6649.0
89,1938,97,0.794329649207112,0.8861111111111111,69.0,31,37,94.5,3.15,fwd,6849.0
90,2024,97,0.8178760211436809,0.8861111111111111,69.0,31,37,94.5,3.15,fwd,7349.0
91,1951,97,0.794329649207112,0.8861111111111111,69.0,31,37,94.5,3.15,fwd,7299.0
92,2028,97,0.7957712638154734,0.8861111111111111,69.0,31,37,94.5,3.15,fwd,7799.0
93,1971,97,0.794329649207112,0.8861111111111111,69.0,31,37,94.5,3.15,fwd,7499.0
94,2037,97,0.8178760211436809,0.8861111111111111,69.0,31,37,94.5,3.15,fwd,7999.0
95,2008,97,0.7803940413262855,0.8861111111111111,69.0,31,37,95.1,3.15,fwd,8249.0
96,2324,120,0.8332532436328689,0.9055555555555556,97.0,27,34,97.2,3.33,fwd,8949.0
97,2302,120,0.8332532436328689,0.9055555555555556,97.0,27,34,97.2,3.33,fwd,9549.0
98,3095,181,0.8731379144641999,0.9236111111111112,152.0,17,22,100.4,3.43,fwd,13499.0
99,3296,181,0.8870735223450265,0.9236111111111112,152.0,17,22,100.4,3.43,fwd,14399.0
100,3060,181,0.8870735223450265,0.9236111111111112,152.0,19,25,100.4,3.43,fwd,13499.0
101,3071,181,0.8202787121576165,0.9430555555555556,160.0,19,25,91.3,3.43,rwd,17199.0
